"X","Working_Year","Designation","Experience","Employment_Status","Salary_In_Rupees","Employee_Location","Company_Location","Company_Size","Remote_Working_Ratio","DesignationCategory","USDSalary"
1,"2020","Data Scientist","MI","FT","6,352,272.00","DE","DE","L","0","Data Scientist",82579.536
2,"2020","Machine Learning Scientist","SE","FT","20,688,070.00","JP","JP","S","0","ML Engineer",268944.91
3,"2020","Big Data Engineer","SE","FT","8,674,985.00","GB","GB","M","50","Data Engineer",112774.805
4,"2020","Product Data Analyst","MI","FT","1,591,390.00","HN","HN","S","0","Data Analyst",20688.07
5,"2020","Machine Learning Engineer","SE","FT","11,935,425.00","US","US","L","50","ML Engineer",155160.525
6,"2020","Data Analyst","EN","FT","5,729,004.00","US","US","L","100","Data Analyst",74477.052
7,"2020","Lead Data Scientist","SE","FT","15,118,205.00","US","US","S","100","Data Scientist",196536.665
8,"2020","Data Scientist","MI","FT","2,843,416.00","HU","HU","L","50","Data Scientist",36964.408
9,"2020","Business Data Analyst","MI","FT","10,741,883.00","US","US","L","100","Data Analyst",139644.479
10,"2020","Lead Data Engineer","SE","FT","9,946,188.00","NZ","NZ","S","50","Data Engineer",129300.444
11,"2020","Data Scientist","EN","FT","4,083,586.00","FR","FR","S","0","Data Scientist",53086.618
12,"2020","Data Scientist","MI","FT","3,221,053.00","IN","IN","L","0","Data Scientist",41873.689
13,"2020","Data Scientist","EN","FT","3,176,096.00","FR","FR","M","0","Data Scientist",41289.248
14,"2020","Lead Data Analyst","MI","FT","6,922,547.00","US","US","L","100","Data Analyst",89993.111
15,"2020","Data Analyst","MI","FT","6,763,408.00","US","US","L","100","Data Analyst",87924.304
16,"2020","Data Analyst","MI","FT","636,556.00","PK","PK","L","50","Data Analyst",8275.228
17,"2020","Data Engineer","EN","FT","3,317,173.00","JP","JP","S","100","Data Engineer",43123.249
18,"2020","Big Data Engineer","SE","FT","9,074,663.00","PL","GB","S","100","Data Engineer",117970.619
19,"2020","Data Science Consultant","EN","FT","454,103.00","IN","IN","M","50","Data Scientist",5903.339
20,"2020","Lead Data Engineer","MI","FT","4,455,892.00","PT","US","M","100","Data Engineer",57926.596
21,"2020","Machine Learning Engineer","MI","FT","3,447,826.00","CN","CN","M","0","ML Engineer",44821.738
22,"2020","Product Data Analyst","MI","FT","483,146.00","IN","IN","L","100","Data Analyst",6280.898
23,"2020","Data Engineer","SE","FT","3,811,299.00","GR","GR","L","50","Data Engineer",49546.887
24,"2020","BI Data Analyst","MI","FT","7,797,811.00","US","US","M","0","Data Analyst",101371.543
25,"2020","Lead Data Scientist","MI","FT","9,150,493.00","AE","AE","L","0","Data Scientist",118956.409
26,"2020","Director of Data Science","EX","FT","25,860,088.00","US","US","L","100","Data Scientist",336181.144
27,"2020","Research Scientist","EN","FT","3,341,919.00","NL","NL","L","50","AI Engineer",43444.947
28,"2020","Data Engineer","SE","FT","2,666,454.00","MX","MX","S","0","Data Engineer",34663.902
29,"2020","Business Data Analyst","EN","CT","7,956,950.00","US","US","L","100","Data Analyst",103440.35
30,"2020","Machine Learning Manager","SE","FT","9,317,907.00","CA","CA","L","50","ML Engineer",121132.791
31,"2020","Data Engineering Manager","MI","FT","4,718,710.00","DE","DE","S","100","Data Engineer",61343.23
32,"2020","Big Data Engineer","EN","FT","5,569,865.00","US","US","L","100","Data Engineer",72408.245
33,"2020","Data Scientist","SE","FT","5,444,782.00","GR","US","L","100","Data Scientist",70782.166
34,"2020","Research Scientist","MI","FT","35,806,275.00","US","US","M","0","AI Engineer",465481.575
35,"2020","Data Analyst","MI","FT","3,720,590.00","FR","FR","L","50","Data Analyst",48367.67
36,"2020","Data Engineer","MI","FT","5,898,487.00","AT","AT","L","50","Data Engineer",76680.331
37,"2020","Data Science Consultant","MI","FT","8,195,659.00","US","US","L","100","Data Scientist",106543.567
38,"2020","Machine Learning Engineer","EN","FT","19,892,375.00","US","US","L","50","ML Engineer",258600.875
39,"2020","Data Analyst","EN","FT","795,695.00","NG","NG","S","100","Data Analyst",10344.035
40,"2020","Machine Learning Engineer","EN","FT","10,980,591.00","US","US","S","100","ML Engineer",142747.683
41,"2020","Data Scientist","MI","FT","3,641,100.00","PH","US","S","100","Data Scientist",47334.3
42,"2020","Data Engineering Manager","EX","FT","6,352,272.00","ES","ES","L","50","Data Engineer",82579.536
43,"2020","Machine Learning Infrastructure Engineer","MI","FT","3,992,798.00","PT","PT","M","0","ML Engineer",51906.374
44,"2020","Data Engineer","MI","FT","8,434,367.00","US","US","L","100","Data Engineer",109646.771
45,"2020","Data Engineer","MI","FT","8,981,169.00","GB","GB","L","50","Data Engineer",116755.197
46,"2020","ML Engineer","EN","PT","1,270,407.00","DE","DE","S","100","ML Engineer",16515.291
47,"2020","Data Scientist","MI","FT","6,123,510.00","GB","GB","S","100","Data Scientist",79605.63
48,"2020","Data Engineer","SE","FT","14,959,066.00","US","US","L","100","Data Engineer",194467.858
49,"2020","Data Scientist","MI","FT","8,354,798.00","US","US","L","100","Data Scientist",108612.374
50,"2020","Data Engineer","MI","FT","5,580,925.00","FR","FR","L","50","Data Engineer",72552.025
51,"2020","Data Analyst","EN","FT","483,146.00","IN","IN","S","0","Data Analyst",6280.898
52,"2020","Data Analyst","EN","FT","7,240,825.00","US","US","L","100","Data Analyst",94130.725
53,"2020","AI Scientist","EN","FT","3,651,922.00","DK","DK","S","50","AI Engineer",47474.986
54,"2020","Data Engineer","EN","FT","4,355,794.00","PK","DE","L","100","Data Engineer",56625.322
55,"2020","Computer Vision Engineer","SE","FL","4,774,170.00","RU","US","S","100","AI Engineer",62064.21
56,"2020","Principal Data Scientist","SE","FT","11,797,054.00","DE","DE","M","100","Data Scientist",153361.702
57,"2020","Data Scientist","MI","FT","3,085,387.00","ES","ES","M","100","Data Scientist",40110.031
58,"2020","Data Scientist","MI","FT","9,389,201.00","US","US","M","100","Data Scientist",122059.613
59,"2020","Data Scientist","SE","FT","9,548,340.00","US","US","L","50","Data Scientist",124128.42
60,"2020","Data Scientist","MI","FT","11,008,440.00","US","US","M","100","Data Scientist",143109.72
61,"2020","Data Engineer","MI","FT","8,752,645.00","US","US","L","100","Data Engineer",113784.385
62,"2020","Data Engineer","MI","FT","10,407,691.00","ES","US","M","100","Data Engineer",135299.983
63,"2020","Data Scientist","EN","PT","1,724,191.00","IT","IT","S","50","Data Scientist",22414.483
64,"2020","Data Scientist","SE","FT","32,782,634.00","US","US","L","100","Data Scientist",426174.242
65,"2020","Machine Learning Engineer","SE","FT","3,629,801.00","HR","HR","S","100","ML Engineer",47187.413
66,"2020","Data Scientist","EN","FT","4,991,076.00","DE","DE","S","50","Data Scientist",64883.988
67,"2020","Data Scientist","EN","FT","3,920,230.00","DE","DE","S","0","Data Scientist",50962.99
68,"2020","Data Science Manager","SE","FT","15,134,119.00","US","US","M","100","Data Scientist",196743.547
69,"2020","Data Scientist","EN","FT","8,354,798.00","US","US","S","100","Data Scientist",108612.374
70,"2020","Data Scientist","SE","FT","7,259,682.00","AT","AT","S","0","Data Scientist",94375.866
71,"2020","Data Scientist","MI","FT","4,991,076.00","FR","LU","S","50","Data Scientist",64883.988
72,"2020","Data Scientist","MI","FT","3,357,594.00","FR","FR","S","50","Data Scientist",43648.722
73,"2021","Research Scientist","EN","FT","6,566,712.00","GB","GB","L","50","AI Engineer",85367.256
74,"2021","BI Data Analyst","EX","FT","11,935,425.00","IN","US","L","100","Data Analyst",155160.525
75,"2021","Head of Data","EX","FT","18,698,833.00","US","US","L","100","Data Engineer",243084.829
76,"2021","Data Scientist","SE","FT","4,232,461.00","FR","FR","L","50","Data Scientist",55021.993
77,"2021","BI Data Analyst","MI","FT","7,956,950.00","US","US","M","100","Data Analyst",103440.35
78,"2021","3D Computer Vision Researcher","MI","PT","430,391.00","IN","IN","M","50","AI Engineer",5595.083
79,"2021","ML Engineer","MI","CT","21,483,765.00","US","US","L","100","ML Engineer",279288.945
80,"2021","Data Analyst","EN","FT","6,365,560.00","US","US","M","100","Data Analyst",82752.28
81,"2021","Data Analytics Engineer","SE","FT","6,301,666.00","DE","DE","L","100","Data Analyst",81921.658
82,"2021","Data Engineer","MI","FT","11,139,730.00","US","US","L","100","Data Engineer",144816.49
83,"2021","Applied Data Scientist","MI","FT","4,315,691.00","GB","CA","L","50","Data Scientist",56103.983
84,"2021","Machine Learning Engineer","MI","FT","3,762,205.00","ES","ES","S","100","ML Engineer",48908.665
85,"2021","Director of Data Science","EX","FT","12,227,206.00","IT","PL","L","100","Data Scientist",158953.678
86,"2021","Data Engineer","MI","FT","2,265,821.00","PL","PL","L","100","Data Engineer",29455.673
87,"2021","Data Analyst","EN","FT","4,702,717.00","FR","FR","M","50","Data Analyst",61135.321
88,"2021","Data Analytics Engineer","MI","FT","8,752,645.00","US","US","L","100","Data Analyst",113784.385
89,"2021","Lead Data Analyst","SE","FT","13,526,815.00","US","US","L","100","Data Analyst",175848.595
90,"2021","Data Analyst","SE","FT","6,365,560.00","BG","US","S","100","Data Analyst",82752.28
91,"2021","Marketing Data Analyst","SE","FT","7,054,154.00","GR","DK","L","100","Data Analyst",91704.002
92,"2021","Data Science Consultant","EN","FT","6,113,563.00","DE","DE","S","100","Data Scientist",79476.319
93,"2021","Lead Data Analyst","MI","FT","1,560,278.00","IN","IN","L","100","Data Analyst",20283.614
94,"2021","Lead Data Engineer","SE","FT","21,961,182.00","US","US","L","0","Data Engineer",285495.366
95,"2021","Data Scientist","EN","FT","2,367,272.00","IN","IN","L","50","Data Scientist",30774.536
96,"2021","Cloud Data Engineer","MI","FT","7,105,079.00","SG","SG","L","50","Data Engineer",92366.027
97,"2021","AI Scientist","EN","PT","954,834.00","BR","US","S","100","AI Engineer",12412.842
98,"2021","Financial Data Analyst","MI","FT","35,806,275.00","US","US","L","100","Data Analyst",465481.575
99,"2021","Computer Vision Software Engineer","EN","FT","5,569,865.00","US","US","M","100","AI Engineer",72408.245
100,"2021","Computer Vision Software Engineer","MI","FT","7,618,461.00","DE","US","S","100","AI Engineer",99039.993
101,"2021","Data Analyst","MI","FT","5,967,713.00","US","US","L","0","Data Analyst",77580.269
102,"2021","Data Engineer","SE","FT","11,935,425.00","US","US","L","100","Data Engineer",155160.525
103,"2021","BI Data Analyst","MI","FT","2,885,111.00","HU","US","L","50","Data Analyst",37506.443
104,"2021","Data Analyst","MI","FT","4,933,309.00","US","US","L","0","Data Analyst",64133.017
105,"2021","Data Scientist","MI","FT","5,808,574.00","US","US","L","0","Data Scientist",75511.462
106,"2021","Data Analyst","MI","FT","4,099,341.00","GB","GB","L","50","Data Analyst",53291.433
107,"2021","Research Scientist","MI","FT","14,914,666.00","CA","CA","L","100","AI Engineer",193890.658
108,"2021","Data Engineer","SE","FT","9,150,493.00","US","US","S","100","Data Engineer",118956.409
109,"2021","Data Engineer","SE","FT","11,935,425.00","US","US","M","100","Data Engineer",155160.525
110,"2021","Data Engineer","EN","FT","2,421,141.00","IN","IN","L","100","Data Engineer",31474.833
111,"2021","Machine Learning Engineer","SE","FT","7,524,410.00","DE","DE","L","50","ML Engineer",97817.33
112,"2021","Director of Data Engineering","SE","FT","9,029,229.00","GB","GB","M","100","Data Engineer",117379.977
113,"2021","Lead Data Engineer","SE","FT","8,208,390.00","GB","GB","S","100","Data Engineer",106709.07
114,"2021","AI Scientist","EN","PT","954,834.00","PK","US","M","100","AI Engineer",12412.842
115,"2021","Data Engineer","MI","FT","3,611,739.00","NL","NL","L","100","Data Engineer",46952.607
116,"2021","Machine Learning Scientist","EN","FT","17,903,138.00","US","US","L","100","ML Engineer",232740.794
117,"2021","Data Scientist","MI","FT","3,978,475.00","NG","NG","L","100","Data Scientist",51720.175
118,"2021","Data Science Engineer","MI","FT","3,197,819.00","GR","GR","M","100","Data Scientist",41571.647
119,"2021","Data Analyst","EN","FT","7,161,255.00","US","US","S","100","Data Analyst",93096.315
120,"2021","Data Engineer","MI","FT","15,913,900.00","US","US","L","100","Data Engineer",206880.7
121,"2021","Big Data Engineer","MI","FT","4,774,170.00","ES","RO","M","50","Data Engineer",62064.21
122,"2021","Principal Data Engineer","SE","FT","15,913,900.00","US","US","M","100","Data Engineer",206880.7
123,"2021","Data Analyst","EN","FT","3,978,475.00","US","US","M","100","Data Analyst",51720.175
124,"2021","Applied Data Scientist","EN","FT","8,755,589.00","GB","GB","L","0","Data Scientist",113822.657
125,"2021","Data Analyst","EN","PT","823,863.00","ES","ES","M","50","Data Analyst",10710.219
126,"2021","Principal Data Scientist","MI","FT","12,014,995.00","US","US","L","100","Data Scientist",156194.935
127,"2021","Machine Learning Scientist","SE","FT","9,548,340.00","US","US","S","50","ML Engineer",124128.42
128,"2021","Data Scientist","MI","FT","753,205.00","IN","IN","S","0","Data Scientist",9791.665
129,"2021","Machine Learning Engineer","EN","FT","1,591,390.00","IN","IN","S","100","ML Engineer",20688.07
130,"2021","Lead Data Scientist","SE","FT","3,228,135.00","IN","IN","L","50","Data Scientist",41965.755
131,"2021","Machine Learning Developer","EN","FT","7,956,950.00","IQ","IQ","S","50","ML Engineer",103440.35
132,"2021","Data Scientist","EN","FT","3,950,307.00","FR","FR","M","50","Data Scientist",51353.991
133,"2021","Applied Machine Learning Scientist","MI","FT","3,055,469.00","VN","US","M","100","ML Engineer",39721.097
134,"2021","Computer Vision Engineer","SE","FT","1,909,668.00","BR","BR","M","100","AI Engineer",24825.684
135,"2021","Data Scientist","EN","FT","7,956,950.00","US","US","S","0","Data Scientist",103440.35
136,"2021","Data Analyst","MI","FT","7,161,255.00","US","US","M","100","Data Analyst",93096.315
137,"2021","ML Engineer","MI","FT","5,069,452.00","JP","JP","S","50","ML Engineer",65902.876
138,"2021","ML Engineer","MI","FT","6,155,815.00","JP","JP","S","50","ML Engineer",80025.595
139,"2021","Principal Data Scientist","SE","FT","17,505,290.00","US","US","L","0","Data Scientist",227568.77
140,"2021","Data Scientist","EN","FT","6,365,560.00","US","US","M","100","Data Scientist",82752.28
141,"2021","Data Analyst","MI","FT","10,741,883.00","US","US","L","100","Data Analyst",139644.479
142,"2021","Data Science Manager","SE","FT","19,096,680.00","US","US","L","0","Data Scientist",248256.84
143,"2021","Data Engineering Manager","SE","FT","11,935,425.00","US","US","L","0","Data Engineer",155160.525
144,"2021","Data Scientist","MI","FT","6,564,484.00","US","US","S","100","Data Scientist",85338.292
145,"2021","Data Engineer","MI","FT","7,956,950.00","US","US","L","100","Data Engineer",103440.35
146,"2021","Machine Learning Engineer","SE","FT","6,583,899.00","BE","BE","M","50","ML Engineer",85590.687
147,"2021","Research Scientist","MI","FT","4,984,950.00","FR","FR","M","50","AI Engineer",64804.35
148,"2021","Data Engineer","MI","FT","7,161,255.00","US","US","L","100","Data Engineer",93096.315
149,"2021","Data Engineering Manager","SE","FT","12,174,134.00","US","US","L","100","Data Engineer",158263.742
150,"2021","Cloud Data Engineer","SE","FT","12,731,120.00","BR","US","S","100","Data Engineer",165504.56
151,"2021","Director of Data Science","SE","FT","13,367,676.00","JP","JP","S","0","Data Scientist",173779.788
152,"2021","Data Scientist","MI","FT","11,935,425.00","US","US","M","100","Data Scientist",155160.525
153,"2021","Data Scientist","MI","FT","6,029,299.00","CA","CA","L","100","Data Scientist",78380.887
154,"2021","Data Scientist","EN","FT","1,066,231.00","UA","UA","L","100","Data Scientist",13861.003
155,"2021","Data Science Manager","SE","FT","11,458,008.00","US","US","L","100","Data Scientist",148954.104
156,"2021","Data Science Engineer","SE","FT","10,122,911.00","CA","CA","L","50","Data Scientist",131597.843
157,"2021","Data Scientist","MI","FT","9,473,465.00","SG","IL","M","100","Data Scientist",123155.045
158,"2021","Applied Machine Learning Scientist","MI","FT","33,657,899.00","US","US","L","50","ML Engineer",437552.687
159,"2021","Data Analytics Manager","SE","FT","9,548,340.00","US","US","M","100","Data Analyst",124128.42
160,"2021","Machine Learning Engineer","EN","FT","9,946,188.00","US","US","S","100","ML Engineer",129300.444
161,"2021","Head of Data","EX","FT","18,300,985.00","RU","RU","L","50","Data Engineer",237912.805
162,"2021","Head of Data Science","EX","FT","6,763,408.00","RU","RU","M","0","Data Scientist",87924.304
163,"2021","Data Engineer","MI","FT","2,257,307.00","MT","MT","L","50","Data Engineer",29344.991
164,"2021","Data Science Consultant","EN","FT","5,079,001.00","DE","DE","L","50","Data Scientist",66027.013
165,"2021","Director of Data Science","EX","FT","10,346,104.00","DE","DE","M","50","Data Scientist",134499.352
166,"2021","Data Specialist","SE","FT","13,128,968.00","US","US","L","100","Data Engineer",170676.584
167,"2021","Data Engineer","EN","FT","6,365,560.00","US","US","L","100","Data Engineer",82752.28
168,"2021","Director of Data Science","EX","FT","19,892,375.00","US","US","L","0","Data Scientist",258600.875
169,"2021","BI Data Analyst","EN","FT","4,376,323.00","US","US","S","50","Data Analyst",56892.199
170,"2021","Data Architect","MI","FT","11,935,425.00","US","US","L","100","Data Engineer",155160.525
171,"2021","Data Architect","MI","FT","13,526,815.00","US","US","L","100","Data Engineer",175848.595
172,"2021","Data Engineer","MI","FT","6,566,712.00","GB","GB","L","100","Data Engineer",85367.256
173,"2021","Data Analyst","EN","FT","4,774,170.00","US","US","S","100","Data Analyst",62064.21
174,"2021","Principal Data Scientist","SE","FT","18,698,833.00","US","US","L","100","Data Scientist",243084.829
175,"2021","Research Scientist","SE","FT","4,834,404.00","PT","PT","L","50","AI Engineer",62847.252
176,"2021","Data Engineering Manager","SE","FT","13,845,093.00","US","US","L","100","Data Engineer",179986.209
177,"2021","Data Scientist","MI","FT","227,489.00","MX","MX","S","0","Data Scientist",2957.357
178,"2021","Data Scientist","MI","FT","3,185,804.00","CL","CL","L","100","Data Scientist",41415.452
179,"2021","Machine Learning Engineer","EN","FT","6,445,130.00","US","US","S","50","ML Engineer",83786.69
180,"2021","Data Scientist","MI","FT","451,875.00","IN","US","S","100","Data Scientist",5874.375
181,"2021","Big Data Engineer","MI","FT","1,799,146.00","IN","IN","L","0","Data Engineer",23388.898
182,"2021","Data Scientist","MI","FT","7,219,659.00","DE","DE","L","50","Data Scientist",93855.567
183,"2021","Data Engineer","MI","FT","2,069,205.00","RO","US","L","0","Data Engineer",26899.665
184,"2021","Finance Data Analyst","SE","FT","4,925,034.00","GB","GB","L","50","Data Analyst",64025.442
185,"2021","Machine Learning Scientist","MI","FL","954,834.00","PK","PK","M","50","ML Engineer",12412.842
186,"2021","Data Engineer","MI","FT","318,278.00","IR","IR","M","100","Data Engineer",4137.614
187,"2021","Data Analytics Engineer","SE","FT","3,978,475.00","VN","GB","M","100","Data Analyst",51720.175
188,"2021","Data Science Consultant","EX","FT","5,549,256.00","FR","ES","S","100","Data Scientist",72140.328
189,"2021","Data Engineer","SE","FT","6,113,563.00","RO","GB","S","50","Data Engineer",79476.319
190,"2021","Machine Learning Engineer","MI","FT","5,888,143.00","JP","JP","S","50","ML Engineer",76545.859
191,"2021","Data Science Manager","SE","FT","12,094,564.00","US","FR","L","100","Data Scientist",157229.332
192,"2021","Machine Learning Engineer","EN","FT","1,738,116.00","CO","CO","M","50","ML Engineer",22595.508
193,"2021","Big Data Engineer","MI","FT","1,432,251.00","MD","MD","S","0","Data Engineer",18619.263
194,"2021","Data Science Manager","SE","FT","13,845,093.00","US","US","L","100","Data Scientist",179986.209
195,"2021","Research Scientist","SE","FT","7,647,663.00","CA","CA","L","50","AI Engineer",99419.619
196,"2021","Data Scientist","MI","FT","11,696,717.00","US","US","L","50","Data Scientist",152057.321
197,"2021","BI Data Analyst","EN","FT","737,768.00","KE","KE","S","100","Data Analyst",9590.984
198,"2021","Machine Learning Engineer","SE","FT","1,936,881.00","IN","IN","L","100","ML Engineer",25179.453
199,"2021","Data Science Manager","SE","FT","4,304,233.00","IN","US","L","50","Data Scientist",55955.029
